scenario,policy,completed,duration_sec,samples,lateral_rms_m,lateral_max_m,heading_rms_rad,heading_max_rad,peak_final_linear_mps,peak_final_angular_rps,negative_command_count,estop_nonzero_count,unsafe_boundary_stop,rl_fault_latched,terminal_zero_observed,source
lateral_offset,zero,1,67.73434330600139,3264,0.46937490702957185,0.5422700923707353,0.009895637906339646,0.02236658539989376,0.17147226262875723,0.06623256549777076,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/zero/lateral_offset/result.json
lateral_offset,ppo,0,75.81735112500064,3641,0.5936645126771597,0.7638083670061225,0.3665590338129144,0.49920089979087273,0.0774,0.6,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/ppo/lateral_offset/result.json
heading_offset,zero,0,75.17534478299967,3622,0.03669447104449968,0.05054338835157311,0.4363202753247706,0.4363272296021203,0.006481884902187029,0.01647472187545039,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/zero/heading_offset/result.json
heading_offset,ppo,0,75.74313048600015,3656,0.15153976402174885,0.25927238832094296,0.4383200200585341,0.4581545081904026,0.07639444775549983,0.056618180686184016,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/ppo/heading_offset/result.json
turn_90,zero,0,75.79664163100097,3660,0.0026205206063220536,0.009555906361638587,0.0010080502346761272,0.002887155285156669,0.19786127978032844,0.09633524912382967,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/zero/turn_90/result.json
turn_90,ppo,0,75.96161464999932,3652,0.9043439531124715,1.5503086709754308,0.6080086358973649,1.2367354683777876,0.07150533173698924,0.6,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/ppo/turn_90/result.json
s_curve,zero,0,75.86544199000127,3641,0.16790019588168742,0.2408359059002207,0.7032760957571025,0.8704115873206174,0.007237383616102829,0.6,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/zero/s_curve/result.json
s_curve,ppo,0,75.91399294799885,3659,0.4588781837865563,0.8837462399432113,0.8321590930870699,1.1040659391288474,0.033727797415973024,0.6,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/ppo/s_curve/result.json
medium_path,zero,0,75.86555451899949,3647,0.07206555482752006,0.13555349935682934,0.07987903622902094,0.15269209424383157,0.06158923221516567,0.06800901198617,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/zero/medium_path/result.json
medium_path,ppo,0,75.9282774000003,3650,0.66586824139607,0.8040667978704426,0.901069672123601,1.189973620451896,0.08034857988473042,0.6,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/ppo/medium_path/result.json
estop_replan_recover,zero,0,75.90016632199877,3640,0.04462953538702511,0.05426521023519329,0.22104181913387222,0.5528114330878414,0.04047027777675797,0.6,0,3,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/zero/estop_replan_recover/result.json
estop_replan_recover,ppo,0,75.87707401300031,3640,0.23474494692788025,0.2612977835284507,2.95270541898082,3.1333120435208075,0.009996016199996311,0.6,0,0,0,0,0,acceptance_logs/residual_gazebo_matrix_20260822/ppo/estop_replan_recover/result.json
